Selection:  EFST: [x, y]: [499 502], 1 f: 0.00288 s: 0.00288 g: 3, idx: 28, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 502], 1 f: 0.00288 s: 0.00288 g: 3, idx: 28, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [500 501], 0 f: 0.00288 s: 0.00288 g: 4, idx: 30, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [500 501], 0 f: 0.00288 s: 0.00288 g: 4, idx: 30, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [499 500], 0 f: 0.00290 s: 0.00290 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 0 f: 0.00290 s: 0.00290 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [499 500], 1 f: 0.00290 s: 0.00290 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 1 f: 0.00290 s: 0.00290 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [500 501], 1 f: 0.00288 s: 0.00288 g: 4, idx: 30, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 2 f: 0.00290 s: 0.00238 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 0.82353
Selection:  EFST: [x, y]: [500 501], 0 f: 0.00288 s: 0.00288 g: 6, idx: 32, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 2 f: 0.00290 s: 0.00240 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 0.82857
Selection:  EFST: [x, y]: [499 500], 0 f: 0.00290 s: 0.00290 g: 7, idx: 35, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 2 f: 0.00290 s: 0.00241 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 0.83333
Selection:  EFST: [x, y]: [499 500], 1 f: 0.00290 s: 0.00290 g: 7, idx: 35, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 2 f: 0.00290 s: 0.00243 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 0.83784
Selection:  EFST: [x, y]: [498 501], 0 f: 0.00290 s: 0.00290 g: 8, idx: 36, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 2 f: 0.00290 s: 0.00244 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 0.84211
Selection:  EFST: [x, y]: [498 501], 1 f: 0.00290 s: 0.00290 g: 8, idx: 36, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [499 500], 2 f: 0.00290 s: 0.00245 g: 5, idx: 31, ggf: 1.00000, nof: 1.00000, nwof: 0.84615
Selection:  EFST: [x, y]: [497 500], 0 f: 0.00291 s: 0.00291 g: 9, idx: 39, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [497 500], 0 f: 0.00291 s: 0.00291 g: 9, idx: 39, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Selection:  EFST: [x, y]: [497 500], 1 f: 0.00291 s: 0.00291 g: 9, idx: 39, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
Best:  EFST: [x, y]: [497 500], 1 f: 0.00291 s: 0.00291 g: 9, idx: 39, ggf: 1.00000, nof: 1.00000, nwof: 1.00000
